group,x,y,prior
data,-100,8.002040653453558e-46,"Uniform(-Inf, Inf)"
data,-100,8.002040653453558e-46,"N(-50, 10)"
data,-100,8.002040653453558e-46,"N(-50, 50)"
data,-100,8.002040653453558e-46,"N(0, 50)"
data,-100,8.002040653453558e-46,"N(0, 10)"
data,-99,4.545180088490234e-45,"Uniform(-Inf, Inf)"
data,-99,4.545180088490234e-45,"N(-50, 10)"
data,-99,4.545180088490234e-45,"N(-50, 50)"
data,-99,4.545180088490234e-45,"N(0, 50)"
data,-99,4.545180088490234e-45,"N(0, 10)"
data,-98,2.543003739716478e-44,"Uniform(-Inf, Inf)"
data,-98,2.543003739716478e-44,"N(-50, 10)"
data,-98,2.543003739716478e-44,"N(-50, 50)"
data,-98,2.543003739716478e-44,"N(0, 50)"
data,-98,2.543003739716478e-44,"N(0, 10)"
data,-97,1.4014850313324684e-43,"Uniform(-Inf, Inf)"
data,-97,1.4014850313324684e-43,"N(-50, 10)"
data,-97,1.4014850313324684e-43,"N(-50, 50)"
data,-97,1.4014850313324684e-43,"N(0, 50)"
data,-97,1.4014850313324684e-43,"N(0, 10)"
data,-96,7.608087342187411e-43,"Uniform(-Inf, Inf)"
data,-96,7.608087342187411e-43,"N(-50, 10)"
data,-96,7.608087342187411e-43,"N(-50, 50)"
data,-96,7.608087342187411e-43,"N(0, 50)"
data,-96,7.608087342187411e-43,"N(0, 10)"
data,-95,4.068254160320317e-42,"Uniform(-Inf, Inf)"
data,-95,4.068254160320317e-42,"N(-50, 10)"
data,-95,4.068254160320317e-42,"N(-50, 50)"
data,-95,4.068254160320317e-42,"N(0, 50)"
data,-95,4.068254160320317e-42,"N(0, 10)"
data,-94,2.1428226391964987e-41,"Uniform(-Inf, Inf)"
data,-94,2.1428226391964987e-41,"N(-50, 10)"
data,-94,2.1428226391964987e-41,"N(-50, 50)"
data,-94,2.1428226391964987e-41,"N(0, 50)"
data,-94,2.1428226391964987e-41,"N(0, 10)"
data,-93,1.1117571631789368e-40,"Uniform(-Inf, Inf)"
data,-93,1.1117571631789368e-40,"N(-50, 10)"
data,-93,1.1117571631789368e-40,"N(-50, 50)"
data,-93,1.1117571631789368e-40,"N(0, 50)"
data,-93,1.1117571631789368e-40,"N(0, 10)"
data,-92,5.681711894432149e-40,"Uniform(-Inf, Inf)"
data,-92,5.681711894432149e-40,"N(-50, 10)"
data,-92,5.681711894432149e-40,"N(-50, 50)"
data,-92,5.681711894432149e-40,"N(0, 50)"
data,-92,5.681711894432149e-40,"N(0, 10)"
data,-91,2.860184448273881e-39,"Uniform(-Inf, Inf)"
data,-91,2.860184448273881e-39,"N(-50, 10)"
data,-91,2.860184448273881e-39,"N(-50, 50)"
data,-91,2.860184448273881e-39,"N(0, 50)"
data,-91,2.860184448273881e-39,"N(0, 10)"
data,-90,1.4182553655526082e-38,"Uniform(-Inf, Inf)"
data,-90,1.4182553655526082e-38,"N(-50, 10)"
data,-90,1.4182553655526082e-38,"N(-50, 50)"
data,-90,1.4182553655526082e-38,"N(0, 50)"
data,-90,1.4182553655526082e-38,"N(0, 10)"
data,-89,6.927242497661456e-38,"Uniform(-Inf, Inf)"
data,-89,6.927242497661456e-38,"N(-50, 10)"
data,-89,6.927242497661456e-38,"N(-50, 50)"
data,-89,6.927242497661456e-38,"N(0, 50)"
data,-89,6.927242497661456e-38,"N(0, 10)"
data,-88,3.332820378198673e-37,"Uniform(-Inf, Inf)"
data,-88,3.332820378198673e-37,"N(-50, 10)"
data,-88,3.332820378198673e-37,"N(-50, 50)"
data,-88,3.332820378198673e-37,"N(0, 50)"
data,-88,3.332820378198673e-37,"N(0, 10)"
data,-87,1.579461289951292e-36,"Uniform(-Inf, Inf)"
data,-87,1.579461289951292e-36,"N(-50, 10)"
data,-87,1.579461289951292e-36,"N(-50, 50)"
data,-87,1.579461289951292e-36,"N(0, 50)"
data,-87,1.579461289951292e-36,"N(0, 10)"
data,-86,7.373125502098382e-36,"Uniform(-Inf, Inf)"
data,-86,7.373125502098382e-36,"N(-50, 10)"
data,-86,7.373125502098382e-36,"N(-50, 50)"
data,-86,7.373125502098382e-36,"N(0, 50)"
data,-86,7.373125502098382e-36,"N(0, 10)"
data,-85,3.3903132544756177e-35,"Uniform(-Inf, Inf)"
data,-85,3.3903132544756177e-35,"N(-50, 10)"
data,-85,3.3903132544756177e-35,"N(-50, 50)"
data,-85,3.3903132544756177e-35,"N(0, 50)"
data,-85,3.3903132544756177e-35,"N(0, 10)"
data,-84,1.5355840415216732e-34,"Uniform(-Inf, Inf)"
data,-84,1.5355840415216732e-34,"N(-50, 10)"
data,-84,1.5355840415216732e-34,"N(-50, 50)"
data,-84,1.5355840415216732e-34,"N(0, 50)"
data,-84,1.5355840415216732e-34,"N(0, 10)"
data,-83,6.850983380969846e-34,"Uniform(-Inf, Inf)"
data,-83,6.850983380969846e-34,"N(-50, 10)"
data,-83,6.850983380969846e-34,"N(-50, 50)"
data,-83,6.850983380969846e-34,"N(0, 50)"
data,-83,6.850983380969846e-34,"N(0, 10)"
